Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
162,5,1/30/2015,8648,549,1,1,0,0
163,5,1/30/2015,7506,868,1,1,0,0
164,5,1/30/2015,7855,733,1,1,0,0
165,5,1/30/2015,3743,389,1,1,0,0
166,5,1/30/2015,6251,764,1,1,0,0
167,5,1/30/2015,11083,1128,1,1,0,0
168,5,1/30/2015,8862,798,1,1,0,0
169,5,1/30/2015,7705,667,1,1,0,0
170,5,1/30/2015,6434,641,1,1,0,0
171,5,1/30/2015,9807,963,1,1,0,0
172,5,1/30/2015,7399,858,1,1,0,0
173,5,1/30/2015,10281,1129,1,1,0,0
174,5,1/30/2015,6090,480,1,1,0,0
175,5,1/30/2015,7431,769,1,1,0,0
176,5,1/30/2015,5786,673,1,1,0,0
177,5,1/30/2015,4911,558,1,1,0,0
178,5,1/30/2015,11830,1039,1,1,0,0
179,5,1/30/2015,8000,982,1,1,0,0
180,5,1/30/2015,8837,888,1,1,0,0
181,5,1/30/2015,7311,728,1,1,0,0
182,5,1/30/2015,6956,512,1,1,0,0
183,5,1/30/2015,4247,480,1,1,0,0
184,5,1/30/2015,8569,707,1,1,0,0
185,5,1/30/2015,9631,627,1,1,0,0
186,5,1/30/2015,4104,359,1,1,0,0
187,5,1/30/2015,8449,988,1,1,0,0
188,5,1/30/2015,7692,559,1,1,0,0
189,5,1/30/2015,9992,925,1,1,0,0
190,5,1/30/2015,7780,673,1,1,0,0
191,5,1/30/2015,6426,640,1,1,0,0
192,5,1/30/2015,13797,862,1,1,0,0
193,5,1/30/2015,4353,645,1,1,0,0
194,5,1/30/2015,5739,426,1,1,0,0
195,5,1/30/2015,13952,1516,1,1,0,0
196,5,1/30/2015,7566,855,1,1,0,0
197,5,1/30/2015,9912,1110,1,1,0,0
198,5,1/30/2015,3496,407,1,1,0,0
199,5,1/30/2015,10356,713,1,1,0,0
200,5,1/30/2015,10534,1196,1,1,0,0
201,5,1/30/2015,6174,487,1,1,0,0
202,5,1/30/2015,7189,586,1,1,0,0
203,5,1/30/2015,8005,957,1,1,0,0
204,5,1/30/2015,6243,555,1,1,0,0
205,5,1/30/2015,8114,957,1,1,0,0
206,5,1/30/2015,9087,920,1,1,0,0
207,5,1/30/2015,12476,1413,1,1,0,0
208,5,1/30/2015,3803,469,1,1,0,0
209,5,1/30/2015,6814,623,1,1,0,0
210,5,1/30/2015,4842,423,1,1,0,0
211,5,1/30/2015,13712,1520,1,1,0,0
212,5,1/30/2015,6144,515,1,1,0,0
213,5,1/30/2015,8239,634,1,1,0,0
214,5,1/30/2015,11258,799,1,1,0,0
215,5,1/30/2015,8638,587,1,1,0,0
216,5,1/30/2015,9513,1068,1,1,0,0
217,5,1/30/2015,6259,775,1,1,0,0
218,5,1/30/2015,6166,780,1,1,0,0
219,5,1/30/2015,3575,431,1,1,0,0
220,5,1/30/2015,5812,707,1,1,0,0
221,5,1/30/2015,7629,625,1,1,0,0
222,5,1/30/2015,6305,632,1,1,0,0
223,5,1/30/2015,9787,908,1,1,0,0
224,5,1/30/2015,7606,482,1,1,0,0
225,5,1/30/2015,6172,603,1,1,0,0
226,5,1/30/2015,8637,789,1,1,0,0
227,5,1/30/2015,8908,744,1,1,0,0
228,5,1/30/2015,9486,622,1,1,0,0
229,5,1/30/2015,12006,926,1,1,0,0
230,5,1/30/2015,11735,1198,1,1,0,0
231,5,1/30/2015,7373,520,1,1,0,0
232,5,1/30/2015,4887,388,1,1,0,0
233,5,1/30/2015,11691,1188,1,1,0,0
234,5,1/30/2015,14030,1135,1,1,0,0
235,5,1/30/2015,6403,499,1,1,0,0
236,5,1/30/2015,9810,1086,1,1,0,0
237,5,1/30/2015,5477,634,1,1,0,0
238,5,1/30/2015,10605,1336,1,1,0,0
239,5,1/30/2015,6699,536,1,1,0,0
240,5,1/30/2015,5342,475,1,1,0,0
241,5,1/30/2015,7360,719,1,1,0,0
242,5,1/30/2015,5211,422,1,1,0,0
243,5,1/30/2015,8052,946,1,1,0,0
244,5,1/30/2015,6390,616,1,1,0,0
245,5,1/30/2015,10767,1088,1,1,0,0
246,5,1/30/2015,10236,1154,1,1,0,0
247,5,1/30/2015,11533,788,1,1,0,0
248,5,1/30/2015,10173,1166,1,1,0,0
249,5,1/30/2015,7542,659,1,1,0,0
250,5,1/30/2015,12358,872,1,1,0,0
251,5,1/30/2015,18748,2168,1,1,0,0
252,5,1/30/2015,10691,693,1,1,0,0
253,5,1/30/2015,8069,893,1,1,0,0
254,5,1/30/2015,4241,303,1,1,0,0
255,5,1/30/2015,7983,776,1,1,0,0
256,5,1/30/2015,11499,1299,1,1,0,0
257,5,1/30/2015,6115,689,1,1,0,0
258,5,1/30/2015,7083,569,1,1,0,0
259,5,1/30/2015,14476,2647,1,1,0,0
260,5,1/30/2015,7052,936,1,1,0,0
261,5,1/30/2015,13069,914,1,1,0,0
262,5,1/30/2015,23982,3592,1,1,0,0
263,5,1/30/2015,4307,372,1,1,0,0
264,5,1/30/2015,8162,988,1,1,0,0
265,5,1/30/2015,6488,580,1,1,0,0
266,5,1/30/2015,4186,503,1,1,0,0
267,5,1/30/2015,10692,1242,1,1,0,0
268,5,1/30/2015,7640,761,1,1,0,0
269,5,1/30/2015,12748,1384,1,1,0,0
270,5,1/30/2015,11101,1310,1,1,0,0
271,5,1/30/2015,10009,978,1,1,0,0
272,5,1/30/2015,7470,710,1,1,0,0
273,5,1/30/2015,8590,750,1,1,0,0
274,5,1/30/2015,4864,1117,1,1,0,0
275,5,1/30/2015,8026,724,1,1,0,0
276,5,1/30/2015,4560,534,1,1,0,0
277,5,1/30/2015,8541,657,1,1,0,0
278,5,1/30/2015,9309,920,1,1,0,0
279,5,1/30/2015,12665,796,1,1,0,0
280,5,1/30/2015,6275,481,1,1,0,0
281,5,1/30/2015,8203,654,1,1,0,0
282,5,1/30/2015,5635,672,1,1,0,0
283,5,1/30/2015,7456,667,1,1,0,0
284,5,1/30/2015,6519,475,1,1,0,0
285,5,1/30/2015,6568,544,1,1,0,0
286,5,1/30/2015,6115,492,1,1,0,0
287,5,1/30/2015,8367,786,1,1,0,0
288,5,1/30/2015,6982,518,1,1,0,0
289,5,1/30/2015,6904,571,1,1,0,0
290,5,1/30/2015,9444,893,1,1,0,0
291,5,1/30/2015,9376,958,1,1,0,0
292,5,1/30/2015,6658,724,1,1,0,0
293,5,1/30/2015,7314,906,1,1,0,0
294,5,1/30/2015,7673,909,1,1,0,0
295,5,1/30/2015,5879,653,1,1,0,0
296,5,1/30/2015,10139,935,1,1,0,0
297,5,1/30/2015,8343,824,1,1,0,0
298,5,1/30/2015,9972,800,1,1,0,0
299,5,1/30/2015,5631,557,1,1,0,0
300,5,1/30/2015,10176,1075,1,1,0,0
301,5,1/30/2015,6534,686,1,1,0,0
302,5,1/30/2015,5205,383,1,1,0,0
303,5,1/30/2015,7263,700,1,1,0,0
304,5,1/30/2015,10848,1299,1,1,0,0
305,5,1/30/2015,7477,669,1,1,0,0
306,5,1/30/2015,4749,465,1,1,0,0
307,5,1/30/2015,3339,362,1,1,0,0
308,5,1/30/2015,7681,732,1,1,0,0
309,5,1/30/2015,5922,494,1,1,0,0
310,5,1/30/2015,12232,941,1,1,0,0
311,5,1/30/2015,8645,965,1,1,0,0
312,5,1/30/2015,6309,586,1,1,0,0
313,5,1/30/2015,10084,867,1,1,0,0
314,5,1/30/2015,6827,651,1,1,0,0
315,5,1/30/2015,5423,512,1,1,0,0
316,5,1/30/2015,9369,798,1,1,0,0
317,5,1/30/2015,6276,663,1,1,0,0
318,5,1/30/2015,8571,711,1,1,0,0
319,5,1/30/2015,11022,1139,1,1,0,0
320,5,1/30/2015,19604,2425,1,1,0,0
321,5,1/30/2015,7821,705,1,1,0,0
322,5,1/30/2015,5636,590,1,1,0,0
323,5,1/30/2015,9138,694,1,1,0,0
324,5,1/30/2015,6405,745,1,1,0,0
325,5,1/30/2015,7551,666,1,1,0,0
326,5,1/30/2015,6724,515,1,1,0,0
327,5,1/30/2015,10293,1097,1,1,0,0
328,5,1/30/2015,5479,617,1,1,0,0
329,5,1/30/2015,10241,791,1,1,0,0
330,5,1/30/2015,5707,510,1,1,0,0
331,5,1/30/2015,7116,820,1,1,0,0
332,5,1/30/2015,4501,521,1,1,0,0
333,5,1/30/2015,12609,1428,1,1,0,0
334,5,1/30/2015,7117,607,1,1,0,0
335,5,1/30/2015,19215,2973,1,1,0,0
336,5,1/30/2015,15877,2127,1,1,0,0
337,5,1/30/2015,6138,412,1,1,0,0
338,5,1/30/2015,9405,704,1,1,0,0
339,5,1/30/2015,5565,699,1,1,0,0
340,5,1/30/2015,7844,858,1,1,0,0
341,5,1/30/2015,8012,924,1,1,0,0
342,5,1/30/2015,11763,837,1,1,0,0
343,5,1/30/2015,9118,751,1,1,0,0
344,5,1/30/2015,10638,1302,1,1,0,0
345,5,1/30/2015,5209,500,1,1,0,0
346,5,1/30/2015,9137,736,1,1,0,0
347,5,1/30/2015,5906,428,1,1,0,0
348,5,1/30/2015,9170,744,1,1,0,0
349,5,1/30/2015,8673,832,1,1,0,0
350,5,1/30/2015,8147,582,1,1,0,0
351,5,1/30/2015,8749,652,1,1,0,0
352,5,1/30/2015,7789,673,1,1,0,0
353,5,1/30/2015,7518,1789,1,1,0,0
354,5,1/30/2015,9526,740,1,1,0,0
355,5,1/30/2015,12279,1338,1,1,0,0
356,5,1/30/2015,6851,466,1,1,0,0
357,5,1/30/2015,10363,1162,1,1,0,0
358,5,1/30/2015,13740,1308,1,1,0,0
359,5,1/30/2015,8814,667,1,1,0,0
360,5,1/30/2015,8696,856,1,1,0,0
361,5,1/30/2015,8595,859,1,1,0,0
362,5,1/30/2015,11085,1373,1,1,0,0
363,5,1/30/2015,8206,1000,1,1,0,0
364,5,1/30/2015,5131,620,1,1,0,0
365,5,1/30/2015,6594,653,1,1,0,0
366,5,1/30/2015,7854,708,1,1,0,0
367,5,1/30/2015,7828,683,1,1,0,0
368,5,1/30/2015,16270,964,1,1,0,0
369,5,1/30/2015,8026,627,1,1,0,0
370,5,1/30/2015,7260,537,1,1,0,0
371,5,1/30/2015,9490,646,1,1,0,0
372,5,1/30/2015,10268,780,1,1,0,0
373,5,1/30/2015,4604,294,1,1,0,0
374,5,1/30/2015,8735,990,1,1,0,0
375,5,1/30/2015,11572,931,1,1,0,0
376,5,1/30/2015,10131,1072,1,1,0,0
377,5,1/30/2015,12196,1313,1,1,0,0
378,5,1/30/2015,6642,898,1,1,0,0
379,5,1/30/2015,5904,593,1,1,0,0
380,5,1/30/2015,16137,1385,1,1,0,0
381,5,1/30/2015,11212,1087,1,1,0,0
382,5,1/30/2015,10391,776,1,1,0,0
383,5,1/30/2015,21804,2428,1,1,0,0
384,5,1/30/2015,12048,1179,1,1,0,0
385,5,1/30/2015,8374,710,1,1,0,0
386,5,1/30/2015,7774,583,1,1,0,0
387,5,1/30/2015,12627,1361,1,1,0,0
388,5,1/30/2015,11575,1138,1,1,0,0
389,5,1/30/2015,13058,1427,1,1,0,0
390,5,1/30/2015,14153,1162,1,1,0,0
391,5,1/30/2015,8076,880,1,1,0,0
392,5,1/30/2015,7338,729,1,1,0,0
393,5,1/30/2015,7846,704,1,1,0,0
394,5,1/30/2015,10981,795,1,1,0,0
395,5,1/30/2015,6230,696,1,1,0,0
396,5,1/30/2015,12834,1214,1,1,0,0
397,5,1/30/2015,7557,892,1,1,0,0
398,5,1/30/2015,8218,800,1,1,0,0
399,5,1/30/2015,6427,582,1,1,0,0
400,5,1/30/2015,10864,1356,1,1,0,0
401,5,1/30/2015,9423,793,1,1,0,0
402,5,1/30/2015,7283,707,1,1,0,0
403,5,1/30/2015,9032,850,1,1,0,0
404,5,1/30/2015,5890,640,1,1,0,0
405,5,1/30/2015,5352,534,1,1,0,0
406,5,1/30/2015,9133,607,1,1,0,0
407,5,1/30/2015,5471,401,1,1,0,0
408,5,1/30/2015,6590,566,1,1,0,0
409,5,1/30/2015,6413,645,1,1,0,0
410,5,1/30/2015,8264,935,1,1,0,0
411,5,1/30/2015,12505,852,1,1,0,0
412,5,1/30/2015,9567,651,1,1,0,0
413,5,1/30/2015,9479,1056,1,1,0,0
414,5,1/30/2015,8293,590,1,1,0,0
415,5,1/30/2015,7995,635,1,1,0,0
416,5,1/30/2015,13531,1512,1,1,0,0
417,5,1/30/2015,7740,707,1,1,0,0
418,5,1/30/2015,8485,790,1,1,0,0
419,5,1/30/2015,7459,1031,1,1,0,0
420,5,1/30/2015,5427,421,1,1,0,0
421,5,1/30/2015,11098,1151,1,1,0,0
422,5,1/30/2015,5628,524,1,1,0,0
423,5,1/30/2015,11375,2019,1,1,0,0
424,5,1/30/2015,9357,898,1,1,0,0
425,5,1/30/2015,4587,529,1,1,0,0
426,5,1/30/2015,5271,657,1,1,0,0
427,5,1/30/2015,8599,802,1,1,0,0
428,5,1/30/2015,7228,533,1,1,0,0
429,5,1/30/2015,5755,448,1,1,0,0
430,5,1/30/2015,10302,771,1,1,0,0
431,5,1/30/2015,12082,1153,1,1,0,0
432,5,1/30/2015,12888,1611,1,1,0,0
433,5,1/30/2015,7446,780,1,1,0,0
434,5,1/30/2015,10927,773,1,1,0,0
435,5,1/30/2015,3038,378,1,1,0,0
436,5,1/30/2015,7028,729,1,1,0,0
437,5,1/30/2015,7375,659,1,1,0,0
438,5,1/30/2015,7368,625,1,1,0,0
439,5,1/30/2015,9584,1027,1,1,0,0
440,5,1/30/2015,8910,778,1,1,0,0
441,5,1/30/2015,10240,967,1,1,0,0
442,5,1/30/2015,6615,633,1,1,0,0
443,5,1/30/2015,6229,598,1,1,0,0
444,5,1/30/2015,13878,1493,1,1,0,0
445,5,1/30/2015,9181,1332,1,1,0,0
446,5,1/30/2015,7948,870,1,1,0,0
447,5,1/30/2015,6014,632,1,1,0,0
448,5,1/30/2015,9869,823,1,1,0,0
449,5,1/30/2015,11336,1468,1,1,0,0
450,5,1/30/2015,7896,936,1,1,0,0
451,5,1/30/2015,6802,507,1,1,0,0
452,5,1/30/2015,7207,594,1,1,0,0
453,5,1/30/2015,7499,788,1,1,0,0
454,5,1/30/2015,7431,883,1,1,0,0
455,5,1/30/2015,8302,505,1,1,0,0
456,5,1/30/2015,6841,932,1,1,0,0
457,5,1/30/2015,5590,473,1,1,0,0
458,5,1/30/2015,9854,843,1,1,0,0
459,5,1/30/2015,13912,1474,1,1,0,0
460,5,1/30/2015,4596,366,1,1,0,0
461,5,1/30/2015,5576,481,1,1,0,0
462,5,1/30/2015,5639,652,1,1,0,0
463,5,1/30/2015,7219,1049,1,1,0,0
464,5,1/30/2015,11365,1280,1,1,0,0
465,5,1/30/2015,9965,662,1,1,0,0
466,5,1/30/2015,10264,898,1,1,0,0
467,5,1/30/2015,14604,1576,1,1,0,0
468,5,1/30/2015,7342,768,1,1,0,0
469,5,1/30/2015,14909,1826,1,1,0,0
470,5,1/30/2015,13989,1735,1,1,0,0
471,5,1/30/2015,10090,743,1,1,0,0
472,5,1/30/2015,7748,836,1,1,0,0
473,5,1/30/2015,4929,611,1,1,0,0
474,5,1/30/2015,8641,859,1,1,0,0
475,5,1/30/2015,6700,989,1,1,0,0
476,5,1/30/2015,7182,727,1,1,0,0
477,5,1/30/2015,8088,520,1,1,0,0
478,5,1/30/2015,9587,872,1,1,0,0
479,5,1/30/2015,14392,1496,1,1,0,0
480,5,1/30/2015,5753,699,1,1,0,0
481,5,1/30/2015,7773,587,1,1,0,0
482,5,1/30/2015,9424,919,1,1,0,0
483,5,1/30/2015,6337,741,1,1,0,0
484,5,1/30/2015,9948,914,1,1,0,0
485,5,1/30/2015,5894,464,1,1,0,0
486,5,1/30/2015,5128,606,1,1,0,0
487,5,1/30/2015,9436,841,1,1,0,0
488,5,1/30/2015,4697,425,1,1,0,0
489,5,1/30/2015,8256,605,1,1,0,0
490,5,1/30/2015,8537,1009,1,1,0,0
491,5,1/30/2015,7285,504,1,1,0,0
492,5,1/30/2015,8827,1080,1,1,0,0
493,5,1/30/2015,9623,834,1,1,0,0
494,5,1/30/2015,9988,1312,1,1,0,0
495,5,1/30/2015,5881,379,1,1,0,0
496,5,1/30/2015,9996,965,1,1,0,0
497,5,1/30/2015,11709,1324,1,1,0,0
498,5,1/30/2015,7268,879,1,1,0,0
499,5,1/30/2015,8109,947,1,1,0,0
500,5,1/30/2015,6177,414,1,1,0,0
501,5,1/30/2015,6274,619,1,1,0,0
502,5,1/30/2015,12706,1580,1,1,0,0
503,5,1/30/2015,7766,504,1,1,0,0
504,5,1/30/2015,9863,1196,1,1,0,0
505,5,1/30/2015,5846,648,1,1,0,0
506,5,1/30/2015,9678,976,1,1,0,0
507,5,1/30/2015,9820,673,1,1,0,0
508,5,1/30/2015,10301,903,1,1,0,0
509,5,1/30/2015,6432,504,1,1,0,0
510,5,1/30/2015,8498,781,1,1,0,0
511,5,1/30/2015,5970,864,1,1,0,0
512,5,1/30/2015,7934,1633,1,1,0,0
513,5,1/30/2015,18938,2035,1,1,0,0
514,5,1/30/2015,7697,718,1,1,0,0
515,5,1/30/2015,11407,826,1,1,0,0
516,5,1/30/2015,6488,776,1,1,0,0
517,5,1/30/2015,6629,676,1,1,0,0
518,5,1/30/2015,8024,601,1,1,0,0
519,5,1/30/2015,6867,646,1,1,0,0
520,5,1/30/2015,4429,439,1,1,0,0
521,5,1/30/2015,6160,474,1,1,0,0
522,5,1/30/2015,10050,700,1,1,0,0
523,5,1/30/2015,16813,1769,1,1,0,0
524,5,1/30/2015,9911,959,1,1,0,0
525,5,1/30/2015,10926,939,1,1,0,0
526,5,1/30/2015,11289,1473,1,1,0,0
527,5,1/30/2015,13630,1095,1,1,0,0
528,5,1/30/2015,10351,885,1,1,0,0
529,5,1/30/2015,10327,919,1,1,0,0
530,5,1/30/2015,3531,432,1,1,0,0
531,5,1/30/2015,5311,641,1,1,0,0
532,5,1/30/2015,14098,1520,1,1,0,0
533,5,1/30/2015,13168,1122,1,1,0,0
534,5,1/30/2015,9766,641,1,1,0,0
535,5,1/30/2015,9766,1055,1,1,0,0
536,5,1/30/2015,12899,1197,1,1,0,0
537,5,1/30/2015,7366,712,1,1,0,0
538,5,1/30/2015,4714,643,1,1,0,0
539,5,1/30/2015,11619,1098,1,1,0,0
540,5,1/30/2015,6892,428,1,1,0,0
541,5,1/30/2015,9064,997,1,1,0,0
542,5,1/30/2015,6547,514,1,1,0,0
543,5,1/30/2015,3333,269,1,1,0,0
544,5,1/30/2015,15745,1819,1,1,0,0
545,5,1/30/2015,13281,1070,1,1,0,0
546,5,1/30/2015,14165,1584,1,1,0,0
547,5,1/30/2015,6905,483,1,1,0,0
548,5,1/30/2015,6408,450,1,1,0,0
549,5,1/30/2015,6376,707,1,1,0,0
550,5,1/30/2015,8520,634,1,1,0,0
551,5,1/30/2015,10066,1224,1,1,0,0
552,5,1/30/2015,8358,635,1,1,0,0
553,5,1/30/2015,8455,696,1,1,0,0
554,5,1/30/2015,4813,558,1,1,0,0
555,5,1/30/2015,5495,497,1,1,0,0
556,5,1/30/2015,9180,870,1,1,0,0
557,5,1/30/2015,5392,694,1,1,0,0
558,5,1/30/2015,4346,530,1,1,0,0
559,5,1/30/2015,8448,952,1,1,0,0
560,5,1/30/2015,15985,1775,1,1,0,0
561,5,1/30/2015,7704,705,1,1,0,0
562,5,1/30/2015,23248,3708,1,1,0,0
563,5,1/30/2015,7310,774,1,1,0,0
564,5,1/30/2015,6249,523,1,1,0,0
565,5,1/30/2015,8678,908,1,1,0,0
566,5,1/30/2015,7180,695,1,1,0,0
567,5,1/30/2015,7886,867,1,1,0,0
568,5,1/30/2015,7181,533,1,1,0,0
569,5,1/30/2015,4932,651,1,1,0,0
570,5,1/30/2015,5795,763,1,1,0,0
571,5,1/30/2015,7544,515,1,1,0,0
572,5,1/30/2015,6584,446,1,1,0,0
573,5,1/30/2015,4573,368,1,1,0,0
574,5,1/30/2015,10055,667,1,1,0,0
